0: 474-506 515-530 543-562 579-592 661-673 695-736 760-772
1: 474-506 516-591 662-673 695-736 760-771
2: 474-506 517-590 663-770 808-841
99: 385-472 482-498 510-747 808-841
100: 385-472 482-498 510-747 808-841
101: 385-472 482-498 510-747 808-841
102: 385-472 482-498 510-747 808-841
103: 385-472 482-498 510-747 808-841
104: 385-472 482-498 510-747 808-841
105: 385-472 482-498 510-747 808-841
106: 385-472 482-498 510-747 808-841
107: 385-472 482-498 510-747 808-841
108: 385-472 482-498 510-747 808-841
109: 385-472 482-498 510-747 808-841
110: 385-472 482-498 510-747 808-841
111: 385-472 482-498 510-747 808-841
112: 385-472 482-498 510-747 808-841
113: 385-472 482-498 510-747 808-841
114: 385-471 482-498 528-675 808-841
115: 385-471 482-498 528-675 808-841
116: 385-471 482-498 528-675 808-841
117: 385-471 482-498 528-675 808-841
118: 385-471 482-498 527-675 808-841
119: 385-471 482-498 527-675 808-841
120: 385-471 482-498 527-675 808-841
121: 385-471 482-498 527-675 808-841
122: 385-471 482-498 527-675 808-841
123: 385-471 482-498 527-675 808-841
124: 385-471 482-498 527-675 808-841
125: 385-471 482-498 527-675 808-841
126: 385-471 482-498 527-675 808-841
127: 408-471 482-498 527-675 808-841
128: 408-471 482-498 527-675 808-841
129: 408-471 482-498 527-675 808-841
130: 408-471 482-498 527-675 808-841
131: 408-471 482-498 527-675 808-841
132: 408-471 482-498 527-675 808-841
133: 408-471 482-498 527-675 808-841
134: 408-471 482-498 527-654 808-841
135: 408-471 482-498 527-654 808-841
136: 408-471 482-498 527-654 808-841
137: 408-471 482-498 527-654 808-841
138: 408-471 482-498 527-654 808-841
139: 408-471 482-498 527-654 808-841
140: 408-471 482-498 527-654 802-806 808-841 843-847
141: 408-471 482-498 527-654 800-849
142: 408-471 482-498 527-654 799-850
143: 482-498 527-654 799-850 902-906
144: 482-498 527-654 798-851 900-908
145: 482-498 527-654 798-851 899-909
146: 482-498 527-654 798-851 899-909
147: 482-498 527-654 798-851 898-910
148: 482-498 527-654 798-851 898-910
149: 482-498 527-654 799-851 898-910
150: 482-498 527-654 799-850 898-910
151: 482-498 527-654 800-849 898-910
152: 482-498 527-654 802-847 899-910
153: 482-498 527-736 769-910
154: 482-498 562-737 768-910
155: 482-498 562-738 769-910
156: 482-498 562-738 768-910
157: 482-498 562-738 769-910
158: 482-498 562-737 770-910
159: 482-498 562-738 771-910
